,NUTS_code,lat,lng
158,CH032,47.45115,7.64166
159,CH033,47.3781,8.070105
160,CH04,47.42475,8.68103
161,CH040,47.42475,8.68103
162,CH05,46.98555,9.448834999999999
163,CH051,46.9931,9.063025
164,CH052,47.73524999999999,8.572835
165,CH053,47.35465,9.41208
166,CH054,47.313649999999996,9.406435
167,CH055,47.212199999999996,9.240575
168,CH056,46.6152,9.583025
169,CH057,47.54715,9.08303
170,CH06,46.904849999999996,8.42163
171,CH061,47.0302,8.17614
172,CH062,46.7589,8.683025
173,CH063,47.053,8.69689
174,CH064,46.88055,8.20899
175,CH065,46.8805,8.398985
176,CH066,47.17065,8.5516
177,CH07,46.22665,8.77205
178,CH070,46.22665,8.77205
179,CY,35.129400000000004,33.42905
180,CY0,35.129400000000004,33.42905
181,CY00,35.129400000000004,33.42905
182,CY000,35.129400000000004,33.42905
183,CZ,49.808499999999995,15.471150000000002
184,CZ0,49.808499999999995,15.471150000000002
185,CZ01,50.0613,14.46245
186,CZ010,50.0613,14.46245
187,CZ02,50.06475,14.469850000000001
188,CZ020,50.06475,14.469850000000001
189,CZ03,49.33095,13.999749999999999
190,CZ031,49.08365,14.57065
191,CZ032,49.533699999999996,13.109950000000001
192,CZ04,50.4799,13.37065
193,CZ041,50.18245,12.6961
194,CZ042,50.57214999999999,13.799299999999999
195,CZ05,50.30095,15.6034
196,CZ051,50.7506,14.98785
197,CZ052,50.4104,15.842200000000002
198,CZ053,49.88934999999999,16.113
199,CZ06,49.2392,16.275399999999998
200,CZ063,49.4042,15.66
201,CZ064,49.108,16.59465
202,CZ07,49.6519,17.5578
203,CZ071,49.862300000000005,17.31445
204,CZ072,49.19605,17.75785
205,CZ08,49.8588,17.999450000000003
206,CZ080,49.8588,17.999450000000003
207,DE,54.46925,11.1586
208,DE1,48.66545,9.00343
209,DE11,49.150999999999996,9.617885
210,DE111,48.7708,9.17632
211,DE112,48.694199999999995,8.96132
212,DE113,48.656800000000004,9.348855
213,DE114,48.655550000000005,9.73941
214,DE115,48.9095,9.137709999999998
215,DE116,48.91645,9.506495000000001
216,DE117,49.1498,9.172525
217,DE118,49.2097,9.17286
218,DE119,49.2676,9.601955
219,DE11A,49.1519,9.87884
220,DE11B,49.57995,9.728684999999999
221,DE11C,48.6275,10.215685
222,DE11D,48.8934,10.0418
223,DE12,48.98895,8.781725
224,DE121,48.755449999999996,8.214615
225,DE122,49.0227,8.408584999999999
226,DE123,49.055099999999996,8.576405000000001
227,DE124,48.79205,8.222095
228,DE125,49.4042,8.68182
229,DE126,49.4974,8.502665
230,DE127,49.4782,9.270895
231,DE128,49.4007,8.777175
232,DE129,48.874449999999996,8.72015
233,DE12A,48.66975,8.643574999999998
234,DE12B,48.91815,8.70634
235,DE12C,48.47695,8.52203
236,DE13,48.129000000000005,8.36763
237,DE131,47.9921,7.79481
238,DE132,47.929649999999995,7.99251
239,DE133,48.1332,7.8788149999999995
240,DE134,48.44515,8.00506
241,DE135,48.229600000000005,8.51502
242,DE136,47.980050000000006,8.38598
243,DE137,48.007149999999996,8.80026
244,DE138,47.796400000000006,8.914015
245,DE139,47.709199999999996,7.768835
246,DE13A,47.70205,8.2405
247,DE14,48.08685,9.45716
248,DE141,48.4003,9.383980000000001
249,DE142,48.4871,8.942595
250,DE143,48.2618,8.952645
251,DE144,48.384699999999995,9.938245
252,DE145,48.39165,9.860425
253,DE146,48.133700000000005,9.71026
254,DE147,47.71105,9.379655
255,DE148,47.80655,9.757995000000001
256,DE149,48.051199999999994,9.279335
257,DE2,48.9148,11.41503
